epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.929,1.60277,2.26086,1.43923,0.00866,0.76433,0.64906,0.33113,1.60652,3.17284,1.61385,0.00048,0.00048,0.00048
2,385.219,1.54174,1.90956,1.49226,0.82748,0.21389,0.43157,0.20376,1.75541,3.34683,1.91163,0.000960596,0.000960596,0.000960596
3,557.302,1.60053,1.8758,1.49832,0.2699,0.13188,0.09823,0.04062,3.05431,3.97511,6.03901,0.00142139,0.00142139,0.00142139
4,873.002,1.6821,1.87561,1.54327,0.38087,0.38217,0.30669,0.13154,2.10077,2.94576,2.19327,0.00186239,0.00186239,0.00186239
5,1357.5,1.64777,1.81188,1.5214,0.51172,0.43949,0.38246,0.16908,2.35001,2.3635,2.34977,0.0018416,0.0018416,0.0018416
6,1922.89,1.6796,1.78913,1.56582,0.5774,0.42675,0.42578,0.17741,2.28426,2.40265,2.35594,0.001802,0.001802,0.001802
7,2503.81,1.64458,1.66263,1.53516,0.71061,0.59236,0.63884,0.32189,1.68576,2.76358,1.65798,0.0017624,0.0017624,0.0017624
8,2667.83,1.614,1.60428,1.50583,0.76166,0.70064,0.74084,0.4018,1.57753,1.80793,1.59321,0.0017228,0.0017228,0.0017228
9,2838.17,1.58778,1.54901,1.46372,0.62981,0.52229,0.56434,0.26398,1.80109,1.83081,1.77286,0.0016832,0.0016832,0.0016832
10,3023.3,1.57845,1.51776,1.47483,0.68132,0.59236,0.59186,0.2815,1.79317,1.72038,1.76501,0.0016436,0.0016436,0.0016436
11,3209.24,1.61938,1.45623,1.46638,0.67959,0.64846,0.69785,0.39132,1.64151,2.01016,1.61604,0.001604,0.001604,0.001604
12,3397.8,1.5636,1.45242,1.43897,0.69552,0.61146,0.69568,0.32904,1.77121,1.76561,1.66274,0.0015644,0.0015644,0.0015644
13,3576.56,1.61076,1.48018,1.48798,0.83418,0.67289,0.75839,0.42253,1.60385,1.44576,1.56184,0.0015248,0.0015248,0.0015248
14,3767.97,1.5231,1.32653,1.41885,0.82493,0.75159,0.80548,0.44886,1.52301,1.3096,1.53953,0.0014852,0.0014852,0.0014852
15,3946.19,1.53257,1.38798,1.43327,0.58303,0.46497,0.48709,0.18501,2.10796,2.13411,2.11869,0.0014456,0.0014456,0.0014456
16,4125.95,1.45597,1.26854,1.41187,0.82658,0.69825,0.77853,0.42627,1.59585,1.33366,1.63199,0.001406,0.001406,0.001406
17,4310.42,1.52135,1.33643,1.43802,0.88915,0.71975,0.79631,0.4428,1.49958,1.26305,1.52446,0.0013664,0.0013664,0.0013664
18,4499.22,1.46081,1.24947,1.37108,0.71664,0.63694,0.68021,0.33038,1.84759,1.55703,1.74631,0.0013268,0.0013268,0.0013268
19,4683.29,1.44576,1.21284,1.34589,0.78993,0.64667,0.72555,0.38164,1.61675,1.43898,1.60484,0.0012872,0.0012872,0.0012872
20,4869.3,1.45633,1.22149,1.36197,0.78963,0.71975,0.80534,0.45898,1.39551,1.15904,1.39824,0.0012476,0.0012476,0.0012476
21,5053.78,1.4526,1.19395,1.36639,0.8673,0.78344,0.84093,0.46549,1.4938,1.09595,1.48974,0.001208,0.001208,0.001208
22,5260.23,1.42502,1.20123,1.35142,0.83205,0.75159,0.82118,0.46743,1.44856,1.07533,1.46075,0.0011684,0.0011684,0.0011684
23,5455.12,1.40827,1.13084,1.34914,0.87644,0.68153,0.80539,0.45869,1.41706,1.16629,1.41916,0.0011288,0.0011288,0.0011288
24,5649.85,1.39489,1.09462,1.35629,0.80855,0.66879,0.75295,0.40666,1.64418,1.2819,1.56499,0.0010892,0.0010892,0.0010892
25,5839.56,1.37073,1.12464,1.32467,0.82994,0.80892,0.85965,0.51828,1.39678,1.00866,1.46172,0.0010496,0.0010496,0.0010496
26,6035.64,1.34372,1.06645,1.3161,0.87574,0.80805,0.85752,0.51623,1.41853,1.04118,1.41537,0.00101,0.00101,0.00101
27,6210.58,1.33917,1.026,1.29221,0.8489,0.80255,0.85404,0.50155,1.45222,1.11246,1.43997,0.0009704,0.0009704,0.0009704
28,6388.22,1.34416,1.01807,1.28608,0.9208,0.78981,0.85812,0.5179,1.3898,1.00847,1.46697,0.0009308,0.0009308,0.0009308
29,6573.87,1.30395,1.00758,1.27566,0.88895,0.76482,0.83276,0.48605,1.48156,1.02754,1.50755,0.0008912,0.0008912,0.0008912
30,6756.75,1.29786,1.00238,1.27349,0.91602,0.76418,0.85113,0.5142,1.36513,0.94672,1.35961,0.0008516,0.0008516,0.0008516
31,6936.67,1.30235,1.01753,1.25416,0.8921,0.73726,0.84088,0.48952,1.43216,1.07106,1.4037,0.000812,0.000812,0.000812
32,7118.06,1.29031,0.99976,1.26218,0.95751,0.75796,0.86051,0.50342,1.53762,1.08448,1.50179,0.0007724,0.0007724,0.0007724
33,7300.37,1.28077,0.98353,1.27868,0.89442,0.78344,0.87435,0.51646,1.34718,0.96912,1.34812,0.0007328,0.0007328,0.0007328
34,7515.57,1.24486,0.9958,1.24295,0.90118,0.81322,0.86848,0.48914,1.46813,0.99327,1.39416,0.0006932,0.0006932,0.0006932
35,7699.57,1.32769,0.97274,1.29439,0.87617,0.83439,0.87265,0.5175,1.35137,0.93147,1.35165,0.0006536,0.0006536,0.0006536
36,7883.08,1.25141,0.9293,1.25975,0.84618,0.84095,0.88095,0.54719,1.33558,0.86788,1.34595,0.000614,0.000614,0.000614
37,8066.38,1.26194,0.90534,1.23843,0.90084,0.80255,0.88465,0.55223,1.37289,0.84053,1.36285,0.0005744,0.0005744,0.0005744
38,8238.16,1.20135,0.89632,1.21279,0.92501,0.76433,0.88122,0.5242,1.42817,0.90016,1.38649,0.0005348,0.0005348,0.0005348
39,8440.81,1.21862,0.89502,1.22597,0.90716,0.84713,0.89953,0.57575,1.29605,0.80339,1.31302,0.0004952,0.0004952,0.0004952
40,8614.13,1.1998,0.89258,1.20277,0.94322,0.82803,0.89138,0.56417,1.29001,0.80384,1.29724,0.0004556,0.0004556,0.0004556
